"species"	"year"	"spring"	"maxlat"	"fall"
"Bombycilla_cedrorum"	2008	124	211	349
"Bombycilla_cedrorum"	2009	108	203	348
"Bombycilla_cedrorum"	2010	99	178	339
"Bombycilla_cedrorum"	2011	114	199	334
"Bombycilla_cedrorum"	2012	110	192	348
"Bombycilla_cedrorum"	2013	122	222	341
"Bombycilla_cedrorum"	2014	120	215	336
"Bombycilla_cedrorum"	2015	116	201	350
"Bombycilla_cedrorum"	2016	121	202	357
"Bombycilla_cedrorum"	2017	119	204	351
"Bombycilla_cedrorum"	2018	118	214	356
"Bombycilla_cedrorum"	2019	105	209	348
"Bombycilla_cedrorum"	2020	120	202	358
"Bombycilla_cedrorum"	2021	122	200	351
"Bombycilla_cedrorum"	2022	121	211	346
"Bombycilla_cedrorum"	2023	89	204	339
"Bombycilla_cedrorum"	2024	119	201	359
"Haemorhous_purpureus"	2008	79	155	334
"Haemorhous_purpureus"	2009	58	141	321
"Haemorhous_purpureus"	2010	12	136	345
"Haemorhous_purpureus"	2011	55	148	325
"Haemorhous_purpureus"	2012	61	222	355
"Haemorhous_purpureus"	2013	67	141	315
"Haemorhous_purpureus"	2014	60	139	319
"Haemorhous_purpureus"	2015	73	148	319
"Haemorhous_purpureus"	2016	45	139	317
"Haemorhous_purpureus"	2017	41	248	342
"Haemorhous_purpureus"	2018	22	134	349
"Haemorhous_purpureus"	2019	62	268	312
"Haemorhous_purpureus"	2020	23	111	352
"Haemorhous_purpureus"	2021	65	142	317
"Haemorhous_purpureus"	2022	60	141	353
"Haemorhous_purpureus"	2023	45	242	316
"Haemorhous_purpureus"	2024	28	139	327
"Hylocichla_mustelina"	2008	79	241	307
"Hylocichla_mustelina"	2009	78	182	336
"Hylocichla_mustelina"	2010	74	146	314
"Hylocichla_mustelina"	2011	80	205	325
"Hylocichla_mustelina"	2012	72	222	312
"Hylocichla_mustelina"	2013	76	146	313
"Hylocichla_mustelina"	2014	72	143	312
"Hylocichla_mustelina"	2015	76	186	335
"Hylocichla_mustelina"	2016	77	192	310
"Hylocichla_mustelina"	2017	81	194	308
"Hylocichla_mustelina"	2018	75	144	309
"Hylocichla_mustelina"	2019	79	198	343
"Hylocichla_mustelina"	2020	75	239	313
"Hylocichla_mustelina"	2021	75	186	310
"Hylocichla_mustelina"	2022	78	189	309
"Hylocichla_mustelina"	2023	75	186	308
"Hylocichla_mustelina"	2024	76	188	311
"Junco_hyemalis"	2008	80	268	315
"Junco_hyemalis"	2009	83	131	313
"Junco_hyemalis"	2010	79	179	315
"Junco_hyemalis"	2011	80	168	315
"Junco_hyemalis"	2012	60	179	319
"Junco_hyemalis"	2013	86	183	320
"Junco_hyemalis"	2014	78	132	328
"Junco_hyemalis"	2015	72	266	326
"Junco_hyemalis"	2016	65	264	317
"Junco_hyemalis"	2017	72	177	327
"Junco_hyemalis"	2018	78	130	342
"Junco_hyemalis"	2019	76	267	321
"Junco_hyemalis"	2020	74	128	330
"Junco_hyemalis"	2021	68	134	319
"Junco_hyemalis"	2022	79	134	338
"Junco_hyemalis"	2023	81	258	330
"Junco_hyemalis"	2024	78	131	319
"Setophaga_coronata"	2008	74	182	327
"Setophaga_coronata"	2009	71	214	338
"Setophaga_coronata"	2010	82	171	329
"Setophaga_coronata"	2011	75	169	325
"Setophaga_coronata"	2012	72	179	319
"Setophaga_coronata"	2013	86	176	332
"Setophaga_coronata"	2014	81	179	323
"Setophaga_coronata"	2015	78	174	347
"Setophaga_coronata"	2016	75	163	334
"Setophaga_coronata"	2017	73	162	336
"Setophaga_coronata"	2018	57	158	331
"Setophaga_coronata"	2019	59	159	325
"Setophaga_coronata"	2020	55	160	329
"Setophaga_coronata"	2021	74	160	325
"Setophaga_coronata"	2022	83	160	339
"Setophaga_coronata"	2023	70	158	332
"Setophaga_coronata"	2024	69	156	327
"Turdus_migratorius"	2008	49	166	355
"Turdus_migratorius"	2009	56	162	331
"Turdus_migratorius"	2010	56	169	351
"Turdus_migratorius"	2011	54	165	340
"Turdus_migratorius"	2012	53	174	340
"Turdus_migratorius"	2013	57	188	336
"Turdus_migratorius"	2014	51	180	350
"Turdus_migratorius"	2015	60	119	338
"Turdus_migratorius"	2016	52	125	357
"Turdus_migratorius"	2017	43	118	344
"Turdus_migratorius"	2018	44	280	353
"Turdus_migratorius"	2019	56	122	335
"Turdus_migratorius"	2020	54	129	357
"Turdus_migratorius"	2021	49	124	348
"Turdus_migratorius"	2022	13	167	347
"Turdus_migratorius"	2023	40	272	350
"Turdus_migratorius"	2024	54	191	331
