"HOW_OBTAINED_CODE","HOW_OBTAINED_DESCRIPTION","HOW_OBTAINED_CODE_STATUS","HOW_OBTAINED_SEE_ALSO_TEXT"
"87","Sight record in a different 10-minute block from one where banded.","discontinued","Code discontinued."
"88","Found nesting in a different 10-minute block from one where banded.","discontinued","Code discontinued."
"89","Previously banded bird trapped and released during banding operations in different 10-minute block than where originally banded.","discontinued","Previously banded bird trapped and released during banding operations in different 10-minute block than where originally banded."
"96","Band only","discontinued","Code discontinued."
"97","Miscellaneous. Method of recovery not covered by other codes.","current","Miscellaneous. Method of recovery not covered by other codes."
"98","Found band or band number only (including metal detecting)","current","Band or band number only obtained. No further information available."
"39","Caught or found dead due to striking or being struck by: moving aircraft.","current","Caught or found dead due to striking or being struck by: moving aircraft."
"42","Caught due to striking or being struck by: moving farm machinery.","current","Caught due to striking or being struck by: moving farm machinery."
"44","Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)","current","Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)"
"49","Caught at, on or in nest by predator.","discontinued","Caught at, on or in nest by predator."
"51","Banding mortality: bird killed by predators, weather, etc. while in trapping or holding devices.","discontinued","Banding mortality: bird killed by predators, weather, etc. while in trapping or holding devices."
"53","Captured for Scientific Purposes (not collected). Status changed.","current","Captured for Scientific Purposes (not collected). Bird captured, Status changed(dyed, neck-banded, bled, etc.) for scientific purposes, bird released."
"56","Obtained - Letter simply states in effect ""I obtained this bird""","current","Obtained - Letter simply states in effect ""I obtained this bird"". No further information available."
"58","Bird located by electronic sensors","current","Bird located by electronic sensors (Note: location reported is for receiver, and not necessarily the bird)."
"91","Illegally taken","current","Illegally taken: reported by conservation agency employees or other law enforcement officials as illegally taken."
"99","Previously banded bird trapped and released during banding operations in same 10-minute block where originally banded.","discontinued","Previously banded bird trapped and released during banding operations in same 10-minute block where originally banded."
"61","Found dead or caught due to disease","current",""
"66","Previously banded bird trapped and released during banding operations","current",""
"64","Killed or caught by a predator other than a cat","current",""
"63","Struck wind turbine","current",""
"62","Found dead or caught due to poisoning","current",""
"00","Found dead bird.","current","Found dead."
"01","Shot.","current","Shot."
"02","Caught or found dead due to: starvation","current","Caught or found dead due to: starvation"
"03","Caught due to: injury","current","Caught due to: injury"
"04","Caught by or due to: traps or snares OTHER THAN devices used to catch birds for banding.","current","Caught by or due to: traps or snares other than devices used to catch birds for banding. (Muskrat traps, pole traps, etc.)"
"05","Killed by carnivore (not cat)","discontinued","Code discontinued. See code 31"
"06","Caught by or due to: rodent","discontinued","Caught by or due to: rodent"
"07","Caught by or due to: miscellaneous birds","discontinued","Caught by or due to: miscellaneous birds"
"08","Caught by or due to: shrike","discontinued","Caught by or due to: shrike"
