"SPECIES_ID","SPECIES_NAME","ALPHA_CODE","TAXONOMIC_ORDER","SCI_NAME","RECOMENDSIZE","ALLOWABLESIZE","ENDANGERED","RAPTOR","GAMEBIRD"
"0000","Unidentified Dead Bird","----",,"","N","N","","",""
"0010","Western Grebe","WEGR",97,"Aechmophorus occidentalis","7B, 7, 7A","7B, 7, 7A","","",""
"0011","Clark's Grebe","CLGR",99,"Aechmophorus clarkii","7A, 7, 7B","7A, 7, 7B","","",""
"0012","Western/Clark's Grebe","WCGR",98,"","7A, 7B","7A, 7B","","",""
"0020","Red-necked Grebe","RNGR",95,"Podiceps grisegena","7A, 7, 7B","7A, 7, 7B","","",""
"0030","Horned Grebe","HOGR",94,"Podiceps auritus","6, 5, 5A","6, 5, 5A","Québec","",""
"0040","Eared Grebe","EAGR",96,"Podiceps nigricollis","5, 5A","5, 5A, 6","","",""
"0050","Least Grebe","LEGR",92,"Tachybaptus dominicus","4","4","","",""
"0060","Pied-billed Grebe","PBGR",93,"Podilymbus podiceps","5, 6, 5A","5, 6, 5A","","",""
"0070","Common Loon","COLO",90,"Gavia immer","8, 8A, 9","8, 8A, 9","","",""
"0080","Yellow-billed Loon","YBLO",91,"Gavia adamsii","9, 8A","9, 8A","","",""
"0090","Arctic Loon","ARLO",88,"Gavia arctica","7B","7B","","",""
"0100","Pacific Loon","PALO",89,"Gavia pacifica","7B","7B","","",""
"0110","Red-throated Loon","RTLO",87,"Gavia stellata","7B","7B","","",""
"0120","Tufted Puffin","TUPU",396,"Fratercula cirrhata","6, 5, 5A","6, 5, 5A","","",""
"0130","Atlantic Puffin","ATPU",394,"Fratercula arctica","5","5","","",""
"0140","Horned Puffin","HOPU",395,"Fratercula corniculata","5, 5A","5, 5A, 6","","",""
"0150","Rhinoceros Auklet","RHAU",393,"Cerorhinca monocerata","5, 6, 5A","5, 6, 5A","","",""
"0160","Cassin's Auklet","CAAU",388,"Ptychoramphus aleuticus","3, 3B, 3A","3, 3B, 3A","","",""
"0170","Parakeet Auklet","PAAU",389,"Aethia psittacula","4","4, 4A","","",""
"0180","Crested Auklet","CRAU",392,"Aethia cristatella","4","4","","",""
"0190","Whiskered Auklet","WHAU",391,"Aethia pygmaea","3","3","","",""
"0200","Least Auklet","LEAU",390,"Aethia pusilla","2, 3, 2A","2, 3, 2A, 3B","","",""
"0210","Ancient Murrelet","ANMU",387,"Synthliboramphus antiquus","3, 3B","3, 3B, 3A","","",""
"0230","Marbled Murrelet","MAMU",381,"Brachyramphus marmoratus","3, 3B","3, 3B","Y","",""
"0232","Alaska Marbled Murrelet","AMMU",380,"Brachyramphus marmoratus","3, 3B","3, 3B","","",""
"0240","Kittlitz's Murrelet","KIMU",382,"Brachyramphus brevirostris","3","3, 3B","","",""
"0250","Xantus's Murrelet","XAMU",383,"","2, 2A","2, 2A","","",""
"0251","Scripps's Murrelet","SCMU",384,"Synthliboramphus scrippsi","2, 2A","2, 2A","","",""
"0252","Guadalupe Murrelet","GUMU",385,"Synthliboramphus hypoleucus","2, 2A","2, 2A","","",""
"0260","Craveri's Murrelet","CRMU",386,"Synthliboramphus craveri","2","2","","",""
"0270","Black Guillemot","BLGU",377,"Cepphus grylle","4, 4A","4, 4A, 5","","",""
"0290","Pigeon Guillemot","PIGU",378,"Cepphus columba","4, 4A","4, 4A, 5","","",""
"0300","Common Murre","COMU",374,"Uria aalge","6M, 6","6M, 6","","",""
"0310","Thick-billed Murre","TBMU",375,"Uria lomvia","6M, 5R, 6, 5","6M, 5R, 6, 5","","",""
"0320","Razorbill","RAZO",376,"Alca torda","5R, 6M","5R, 6M, 5, 6","","",""
"0340","Dovekie","DOVE",373,"Alle alle","3, 2A","3, 2A, 2","","",""
"0352","South Polar Skua","SPSK",367,"Stercorarius maccormicki","7A, 7B","7A, 7B","","",""
"0360","Pomarine Jaeger","POJA",370,"Stercorarius pomarinus","5","5","","",""
"0370","Parasitic Jaeger","PAJA",371,"Stercorarius parasiticus","3A, 4, 4A","3A, 4, 4A","","",""
"0380","Long-tailed Jaeger","LTJA",372,"Stercorarius longicaudus","4, 4A","4, 4A","","",""
"0390","Ivory Gull","IVGU",399,"Pagophila eburnea","4","4","Newfoundland and Labrador, Northwest Territories, Nunavut","",""
"0391","Magellan Gull","MAGU",405,"Leucophaeus scoresbii","5","5","","",""
"0400","Black-legged Kittiwake","BLKI",397,"Rissa tridactyla","4A, 5, 4","4A, 5, 4","","",""
"0410","Red-legged Kittiwake","RLKI",398,"Rissa brevirostris","4A, 4, 3A","4A, 4, 3A","","",""
"0420","Glaucous Gull","GLGU",421,"Larus hyperboreus","7A","7A, 7B","","",""
"0430","Iceland Gull","ICGU",417,"Larus glaucoides","6","6","","",""
"0431","Thayer's Gull","THGU",416,"Larus glaucoides thayeri","6","6","","",""
"0440","Glaucous-winged Gull","GWGU",420,"Larus glaucescens","7A, 7, 7B","7A, 7, 7B, 6","","",""
"0446","Hybrid Gull","HYGU",424,"","6, 7A, 7","6, 7A, 7, 7B","","",""
"0470","Great Black-backed Gull","GBBG",422,"Larus marinus","7B, 7, 7A","7B, 7, 7A","","",""
"0490","Western Gull","WEGU",412,"Larus occidentalis","6, 7A","6, 7A","","",""
"0500","Lesser Black-backed Gull","LBBG",418,"Larus fuscus","6","6","","",""
"0510","Herring Gull","HERG",415,"Larus argentatus","6, 7A","6, 7A","","",""
"0530","California Gull","CAGU",414,"Larus californicus","5, 5A","5, 5A, 6","","",""
"0534","Unidentified Gull","UNGU",425,"","5, 5A","5, 5A, 6, 7A","","",""
"0540","Ring-billed Gull","RBGU",411,"Larus delawarensis","5, 4A, 5A","5, 4A, 5A, 4","","",""
"0550","Mew Gull","MEGU",410,"Larus canus","4A, 4, 5","4A, 4, 5, 5A","","",""
"0551","Black-headed Gull","BHGU",402,"Chroicocephalus ridibundus","5","5","","",""
"0570","Heermann's Gull","HEEG",409,"Larus heermanni","4A","4A, 4","","",""
"0580","Laughing Gull","LAGU",406,"Leucophaeus atricilla","5, 4A, 4","5, 4A, 4","","",""
